Date,Open,High,Low,Close,Volume
2018-04-05,50.5,52.5,50.490002,52.34,143600
2018-04-06,51.16,51.549999,47.414001,48.540001,175500
2018-04-09,49.299999,50.080002,47.860001,48.110001,122200
2018-04-10,50.130001,50.443001,48.740002,49.471001,64700
2018-04-11,48.849998,50.939999,48.849998,49.59,78100
2018-04-12,50.290001,51.879002,50.290001,51.380001,110600
2018-04-13,52,52,49.959999,50.59,83400
2018-04-16,51.380001,52.43,51.313,52.220001,82300
2018-04-17,52.98,54.380001,52.855,53.779999,146900
2018-04-18,54.700001,55.560001,54.330002,55.139999,116800
2018-04-19,54.52,56.049999,54.5,55.48,96300
2018-04-20,55.459999,55.534,53.990002,54.57,74600
2018-04-23,54.709999,55.200001,53.990002,54.686001,55700
2018-04-24,55.650002,56.599998,48.43,50.919998,222700
2018-04-25,50.689999,51.140999,46.849998,49.470001,171900
2018-04-26,49.720001,50.610001,47.98,49.299999,86700
2018-04-27,49,49,46.799999,47.25,140400
2018-04-30,47.240002,47.459999,45.150002,45.150002,105900
2018-05-01,45,45,40.82,42.639999,220200
2018-05-02,42.25,43.669998,41.84,41.939999,123200
2018-05-03,41.02,42.689999,39.880001,42.029999,145600
2018-05-04,41.139999,43.799999,41.139999,43.450001,124800
2018-05-07,43.509998,45.349998,43.509998,45.27,93500
2018-05-08,45.5,47.314999,45.490002,47.299999,184200
2018-05-09,48,49.169998,47.75,48.740002,144500
2018-05-10,49,49.537998,48.491001,48.900002,123600
2018-05-11,49.490002,49.639999,48.793999,49.200001,87400
2018-05-14,49.34,49.666,48.040001,48.34,110300
2018-05-15,47.759998,48.07,47.150002,47.580002,76400
2018-05-16,47.189999,48.307999,47.189999,47.599998,43000
2018-05-17,47.650002,48.900002,47.326,48.59,77600
2018-05-18,48.09,49.900002,48.09,49.639999,53400
2018-05-21,50.759998,52.115002,50.759998,51.889999,149200
2018-05-22,51.990002,51.990002,49.630001,49.700001,90400
2018-05-23,49.25,50.91,48.349998,50.91,56300
2018-05-24,50.220001,51.919998,49.799999,51.880001,67300
2018-05-25,51.990002,51.990002,50.630001,51.16,58800
2018-05-29,50,50.66,48.602001,49.25,81400
2018-05-30,49.709999,51.380001,49.363998,51.27,52700
2018-05-31,50.52,51.129002,49.299999,49.400002,41600
2018-06-01,50.419998,51.136002,50.264999,50.740002,50700
2018-06-04,51.369999,51.98,50.939999,51.330002,57300
2018-06-05,51.799999,51.799999,50.650002,51.361,45300
2018-06-06,51.040001,52.785999,51.040001,52.75,61700
2018-06-07,52.849998,53.188999,51.919998,52.720001,59500
2018-06-08,51.689999,53.849998,51.689999,53.849998,41100
2018-06-11,53.990002,54.25,52.84,53.25,41500
2018-06-12,53.02,53.25,51.23,51.689999,88100
2018-06-13,51.27,51.950001,50.639999,50.860001,59000
2018-06-14,50.880001,51.77,49.27,49.68,76600
2018-06-15,48.57,49.220001,47.790001,49.040001,65700
2018-06-18,48.040001,49.306,48.040001,49.200001,40200
2018-06-19,47.59,47.695,45.400002,45.669998,135200
2018-06-20,46.09,46.689999,45.369999,46.259998,69300
2018-06-21,45.900002,45.900002,44.139999,44.790001,78600
2018-06-22,45.389999,45.610001,44.77,45.25,59700
2018-06-25,44.57,44.93,43.25,43.939999,75600
2018-06-26,43.880001,44.838001,43.625999,44.459999,37800
2018-06-27,45.220001,46.401001,43.560001,43.560001,84400
2018-06-28,43.169998,44.700001,42.341,44.195999,81000
2018-06-29,44.259998,46,44.259998,44.5,63500
2018-07-02,43.290001,44.790001,42.720001,44.77,41900
2018-07-03,45.23,46.279999,44.709999,44.849998,29900
2018-07-05,44.950001,45.709999,44.060001,45.035,44600
2018-07-06,44.330002,45.799999,44.153,45.279999,37900
2018-07-09,45.73,47.669998,45.73,47.580002,104500
2018-07-10,47.700001,48.52,47.400002,48.108002,60200
2018-07-11,47,47.029999,45.75,46,107300
2018-07-12,46.869999,48.43,46.549999,48.400002,83800
2018-07-13,48.400002,49.75,48.400002,49.669998,87400
2018-07-16,50,50.950001,49.830002,50.130001,73600
2018-07-17,49.639999,51.169998,49.639999,50.990002,41000
2018-07-18,51,52.154999,50.970001,52.02,53600
2018-07-19,51.630001,51.757999,51.139999,51.580002,64900
2018-07-20,50.93,52.380001,50.450001,51.75,72700
2018-07-23,51.950001,51.950001,50.080002,50.080002,72300
2018-07-24,50.990002,52.5,49.900002,51.139999,81400
2018-07-25,50.32,51.34,48.549999,51.240002,77000
2018-07-26,51.700001,53.389999,51.240002,52.830002,106300
2018-07-27,52.830002,53.639999,51.556999,52.189999,40700
2018-07-30,52.080002,52.619999,49.863998,49.970001,49200
2018-07-31,50.650002,54.02,50.650002,53.77,112300
2018-08-01,53.450001,54.299999,52.59,52.919998,41200
2018-08-02,51.75,52.900002,51.710999,52.689999,27700
2018-08-03,52.93,52.93,51.334999,52.029999,18400
2018-08-06,51.900002,51.959999,50.990002,51.959999,22900
2018-08-07,51.990002,52.765999,51.400002,52.5,17000
2018-08-08,51.830002,52.540001,51.744999,52.23,15400
2018-08-09,52,52.950001,51.830002,52.060001,17900
2018-08-10,50.779999,51.896,50.77,51.380001,22200
2018-08-13,51.290001,52.209999,50.48,51.220001,16700
2018-08-14,51.369999,52.799999,51.369999,52.43,33200
2018-08-15,51.32,51.602001,49.490002,50.48,50900
2018-08-16,51.959999,52.68,51.606998,52.52,43900
2018-08-17,52.099998,53.599998,52.099998,53.380001,57900
2018-08-20,53.5,54.77,53.5,54.259998,64900
2018-08-21,54.700001,55.580002,54.41,55.580002,48600
2018-08-22,55.25,55.34,54.16,54.16,35700
2018-08-23,53.82,53.950001,52.951,53.130001,40900
2018-08-24,53.099998,54.189999,53.099998,54.169998,15600
2018-08-27,55,55.810001,54.709999,55.495998,43700
2018-08-28,56,56.400002,55.189999,55.75,45100
2018-08-29,55.82,56.049999,55.395,55.640999,20900
2018-08-30,54.740002,55.740002,53.926998,54.249001,29100
2018-08-31,54.23,54.790001,53.183998,54.75,44100
2018-09-04,54.619999,54.894001,53.608002,54.689999,38000
2018-09-05,54.02,55.200001,53.98,55.189999,15500
2018-09-06,55.369999,57.299999,55.369999,56.970001,75300
2018-09-07,56.849998,56.849998,55.259998,56.290001,39000
2018-09-10,57.130001,57.130001,56.299999,56.299999,27900
2018-09-11,55.82,56.931,55.290001,56.352001,25600
2018-09-12,55.985001,57.279999,55.889999,57.049999,21500
2018-09-13,57.25,59.099998,57.25,58.200001,75000
2018-09-14,58.82,60.860001,58.801998,60.709999,107900
2018-09-17,60.599998,61.124001,60.201,60.716,40400
2018-09-18,61.32,63.439999,60.931,63.009998,65800
2018-09-19,63.18,64.120003,61.119999,61.450001,101100
2018-09-20,62.189999,62.720001,58.942001,59.970001,93900
2018-09-21,61.450001,61.889999,60.643002,61.5,49700
2018-09-24,61.09,61.09,59.18,59.509998,49800
2018-09-25,59.990002,61.57,59.400002,61.25,34600
2018-09-26,61.25,61.650002,60.321999,60.439999,36500
2018-09-27,60.759998,61.972,60.349998,61.450001,45400
2018-09-28,61.5,62.73,61.240002,62.52,24100
2018-10-01,63.560001,64.5,62.25,63.029999,54700
2018-10-02,63.119999,63.221001,62.290001,62.849998,19900
2018-10-03,63.75,64.379997,62.866001,63.349998,48600
2018-10-04,63.080002,63.150002,61.43,62.59,58700
2018-10-05,62.91,63.34,60.23,61.130001,79900
2018-10-08,60.700001,61.509998,59.619999,61.400002,63700
2018-10-09,60.950001,61.400002,58.5,58.834999,95900
2018-10-10,58.98,58.98,53.099998,53.099998,162600
2018-10-11,52.5,53.389999,48.68,48.93,120500
2018-10-12,51,51.575001,47.720001,49.580002,113300
2018-10-15,50.259998,52.59,50.150002,51.669998,101700
2018-10-16,52.27,55.110001,51.259998,55.110001,147200
2018-10-17,54.830002,54.830002,52.700001,53.459999,71900
